Camera Deployment Name,Latitude,Longitude,Duration,American Beaver,American Black Bear,American Mink,American Red Squirrel,Animal Not On List,Bicycle,Blue Jay,Bobcat,Calibration Photos,Camera Misfire,Camera Trapper,Cotton Rat,Coyote,Crow or Raven,Domestic Cat,Domestic Cow,Domestic Dog,Domestic Horse,Eastern Chipmunk,Eastern Cottontail,Eastern Fox Squirrel,Eastern Gray Squirrel,Eastern Spotted Skunk,Eastern Woodrat,Fisher,Flying Squirrel species,Gray Fox,"Human, non staff",Long-tailed Weasel,No Animal,Northern Bobwhite,Northern Flying Squirrel,Northern Raccoon,Red Fox,River Otter,Ruffed Grouse,Southern Flying Squirrel,Striped Skunk,Time Lapse,Turkey Vulture,Unknown Animal,Unknown Bird,Unknown Canine,Unknown Carnivore,Unknown Feline,Unknown Fox,Unknown mouse or rat,Unknown Owl,Unknown Squirrel,Unknown Weasel,Vehicle,Virginia Opossum,White-tailed Deer,Wild Boar,Wild Turkey,Woodchuck
Mason Neck 40C,38.64322,-77.18047,20.7125,0,0,0,0,0,0,0,0,1,0,1,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,54,0,0,0
Mason Neck 42A,38.6427,-77.18682,20.96944444,0,0,0,0,0,176,0,0,1,0,2,0,3,0,0,0,37,0,0,0,0,16,0,0,0,0,0,544,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,4,0,0,0
Mason Neck 42B,38.6423,-77.18631,20.95694444,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0
Mason Neck 42C,38.64149,-77.18537,20.11458333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
Mason Neck 45A,38.64526,-77.19384,20.94722222,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,43,0,0,0,0,14,0,0,0,0,0,264,0,0,0,0,4,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,19,0,0,0
Mason Neck 45B,38.64572,-77.19373,19.72222222,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,15,0,0,0
Mason Neck 45C,38.64666,-77.19321,20.9125,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0
Mason Neck 46A,38.6442,-77.18967,20.29791667,0,0,0,0,0,4,0,0,1,0,1,0,6,0,0,0,100,0,0,0,0,44,0,0,0,0,0,683,0,2,0,0,3,25,5,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,2,1,0,0,0
Mason Neck 46B,38.64466,-77.18938,19.93958333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,14,0,0,0
Mason Neck 46C,38.64593,-77.18937,20.65347222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0
Mason Neck 4A,38.62557,-77.20168,16.14722222,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,16,0,13,0
Mason Neck 4B,38.62596,-77.20169,10.75555556,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0
Mason Neck 4C,38.62626,-77.20129,14.36458333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Mason Neck 5A,38.63043,-77.2044,21.17708333,0,0,0,0,0,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,12,0,2,0
Mason Neck 5B,38.62955,-77.20197,21.17430556,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,3,0
Mason Neck 5C,38.63008,-77.20145,21.17083333,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0
